#Wave	#Intensity
240.296875	481.483643
238.962891	469.831818
237.628906	460.109894
236.292969	460.015656
234.957031	461.845764
233.621094	415.576019
232.285156	425.108704
230.949219	413.482544
229.613281	446.085052
228.275391	474.829407
226.937500	495.873932
225.601563	520.753052
224.263672	532.173462
222.925781	543.589111
221.587891	556.920471
220.248047	581.766479
218.910156	547.093811
217.570313	589.204590
216.230469	608.272034
214.892578	602.391785
213.552734	565.825134
212.210938	592.556091
210.871094	619.276001
209.531250	542.473999
208.189453	521.281311
206.847656	502.013336
205.505859	488.500305
204.164063	496.061035
202.822266	436.597137
201.480469	459.481415
200.136719	484.270355
198.794922	493.739288
197.451172	430.497986
196.107422	464.842133
194.763672	449.446167
193.419922	434.056488
192.076172	506.613556
190.730469	472.104828
189.386719	464.363739
188.041016	485.284302
186.695313	496.645355
185.349609	519.460388
184.003906	469.709229
182.658203	471.521393
181.310547	456.155365
179.964844	450.336670
178.617188	444.520355
177.269531	396.743164
175.921875	453.872070
174.574219	366.073334
173.226563	373.622742
171.876953	417.380035
170.529297	413.482971
169.179688	365.771118
167.830078	390.456238
166.480469	361.811493
165.130859	390.294922
163.781250	367.372437
162.429688	384.424347
161.080078	369.123291
159.728516	420.409180
158.376953	416.518433
157.025391	422.136841
155.673828	444.863007
154.322266	465.678986
152.970703	437.077576
151.617188	455.986542
150.263672	452.093079
148.910156	459.596100
147.556641	516.463867
146.203125	563.816162
144.849609	611.148804
143.496094	605.329468
142.140625	495.166931
140.785156	517.825867
139.429688	481.686859
138.074219	481.586975
136.718750	468.217804
135.363281	420.740051
134.007813	485.077087
132.650391	435.721039
131.292969	509.498413
129.935547	552.946716
128.578125	649.388184
127.220703	637.896179
125.863281	658.580933
124.503906	675.472900
123.146484	703.707886
121.787109	731.931152
120.427734	780.942505
119.068359	854.510010
117.708984	971.519592
116.349609	1005.332642
114.988281	1101.479492
113.628906	1157.918457
112.267578	1167.120361
110.906250	1108.344849
109.544922	1076.022339
108.183594	947.457520
106.820313	766.110901
105.458984	711.240601
104.095703	680.913513
102.734375	561.966675
101.371094	518.485352
100.007813	491.987244
98.642578	491.884735
97.279297	471.055756
95.916016	474.725220
94.550781	510.411560
93.185547	514.071228
91.820313	495.137482
90.455078	470.564819
89.089844	551.386902
87.724609	543.745972
86.357422	558.681091
84.990234	731.587830
83.625000	729.554810
82.257813	693.684265
80.890625	631.515564
79.521484	528.032104
78.154297	550.466492
76.785156	554.108154
75.417969	567.137878
74.048828	540.733704
72.679688	551.883545
71.310547	600.563965
69.941406	671.740356
68.570313	641.584229
67.201172	575.804504
65.830078	474.423615
64.458984	457.451111
63.087891	425.490417
61.716797	444.141479
60.345703	440.301208
58.972656	344.674255
